0.28 	-0.27 	-0.86 
0.17 	1.68 	0.11 
0.27 	-1.04 	-0.44 
0.84 	-0.05 	0.46 
0.16 	-0.19 	0.82 
0.21 	0.82 	-0.80 
-0.88 	-0.44 	-1.15 
0.85 	-1.04 	1.47 
0.41 	-0.62 	0.88 
-0.14 	0.51 	-1.25 
2.14 	0.31 	0.43 
0.27 	2.06 	0.30 
1.50 	-0.95 	0.72 
-0.85 	-0.17 	-0.25 
1.17 	0.36 	-0.41 
-0.57 	-0.42 	-1.25 
0.60 	-0.90 	-0.28 
-1.53 	-0.36 	1.89 
0.38 	0.94 	0.04 
1.24 	-0.83 	1.40 
1.51 	1.72 	-0.86 
0.26 	-0.94 	0.33 
-0.04 	-1.05 	0.40 
-0.60 	-0.95 	1.21 
-1.27 	-0.64 	2.14 
-1.34 	0.00 	-1.12 
-1.37 	-0.18 	-1.02 
-1.42 	-0.05 	-1.22 
-0.91 	2.83 	-0.51 
-1.34 	-0.16 	-1.19 
